"Name","Count","TotalMB"
"","7910","1346,74"
".py","5117","77,65"
".pyc","5108","96,6"
".jsonl","3525","2628,88"
".json","366","2,47"
".pkl","332","0,14"
".pyi","309","1,44"
".pyd","204","101,64"
".h","188","1,82"
".hyb","156","5,04"
".txt","151","30,62"
".a","113","0,17"
".mat","109","0,07"
".old","109","0,02"
".log","79","24,61"
".dmp","69","127,45"
".pxd","68","0,52"
".lib","65","0,46"
".pb","63","2,78"
".f90","60","0,03"
".pyx","58","2,05"
".typed","56","0"
".sav","47","0,2"
".tflite","40","33,2"
".dat","34","3,88"
".csv","34","5,91"
".ldb","33","3,17"
".pxi","30","0,57"
".f","24","0,01"
".wav","22","0,07"
".npz","22","3,42"
".exe","20","5,91"
".pma","19","61"
".testcase","18","0,11"
".arff","16","0,2"
".cpp","16","0,15"
".hpp","13","0,11"
".db","11","0,38"
".npy","11","0,44"
".db-journal","10","0"
".gz","9","2,38"
".dll","9","68,09"
".md","9","0,03"
".js","9","0,28"
".hash","8","0"
".tab","8","0,09"
".c","7","0,07"
".xsl","7","0,15"
".usage","7","0"
".tpl","7","0,01"
".pyf","7","0"
".build","6","0,01"
".xml","5","0,01"
".map","5","0"
".conf","4","0,03"
".sql","4","0,01"
".gitkeep","4","0"
".bin","3","32,09"
".ini","3","0"
".cfg","3","0"
".nc","3","0"
".APACHE2","3","0,03"
".MIT","3","0"
".rdb","2","0,05"
".pem","2","0,55"
".binarypb","2","0"
".bat","2","0"
".gitignore","2","0"
".obj","2","0"
".asm","2","0"
".f2py_f2cmap","2","0"
".BSD","2","0"
".init","2","0,18"
".whl","2","0"
".APACHE","2","0,02"
".zi","2","0,2"
".rst","2","0,01"
".png","2","0"
".iml","1","0"
".dockerignore","1","0"
".sh","1","0"
".editorconfig","1","0"
".env","1","0"
".html","1","0"
".wasm","1","22,29"
".gitattributes","1","0"
".yml","1","0"
".docker","1","0"
".local","1","0"
".inc","1","0"
".f95","1","0"
".PSF","1","0"
".rng","1","0,02"
".pc","1","0"
".fits","1","0,01"
".template","1","0"
".toml","1","0,02"
".manifest","1","0"
".aof","1","0"
".stat","1","0,02"
".opts","1","0"
".cer","1","0"
".ani","1","0"
".cmd","1","0"
".ps1","1","0,02"
